,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
0,15634602,Danielle Fernandes-Diallo,619,França,Feminino,42,2,0.0,1,1,1,101348.88,1
1,15647311,Adelia Uribe Prat,608,Espanha,Feminino,41,1,83807.86,1,0,1,112542.58,0
2,15619304,Claude Leclercq,502,França,Feminino,42,8,159660.8,3,1,0,113931.57,1
3,15701354,Frédérique Bouvet de la Lejeune,699,França,Feminino,39,1,0.0,2,0,0,93826.63,0
4,15737888,Virginia de Fabra,850,Espanha,Feminino,43,2,125510.82,1,1,1,79084.1,0
5,15574012,María Flores Tolosa,645,Espanha,Masculino,44,8,113755.78,2,1,0,149756.71,1
6,15592531,Matthieu Meyer,822,França,Masculino,50,7,0.0,2,1,1,10062.8,0
7,15656148,Margarethe Grein Groth,376,Alemanha,Feminino,29,4,115046.74,4,1,0,119346.88,1
8,15792365,Édouard Lemaire,501,França,Masculino,44,4,142051.07,2,0,1,74940.5,0
9,15592389,Georges de Tessier,684,França,Masculino,27,2,134603.88,1,1,1,71725.73,0
10,15767821,Théophile Chevalier,528,França,Masculino,31,6,102016.72,2,0,0,80181.12,0
11,15737173,Wilfredo Borrell,497,Espanha,Masculino,24,3,0.0,2,1,0,76390.01,0
12,15632264,Lorraine Ollivier,476,França,Feminino,34,10,0.0,2,1,0,26260.98,0
13,15691483,Nathalie-Jacqueline Duval,549,França,Feminino,25,5,0.0,2,0,0,190857.79,0
14,15600882,Rosenda de Mateu,635,Espanha,Feminino,35,7,0.0,2,1,1,65951.65,0
15,15643966,Mark Harloff,616,Alemanha,Masculino,45,3,143129.41,2,0,1,64327.26,0
16,15737452,Gerald Wieloch,653,Alemanha,Masculino,58,1,132602.88,1,1,0,5097.67,1
17,15788218,Chita Riba Jara,549,Espanha,Feminino,24,9,0.0,2,1,1,14406.41,0
18,15661507,Maximiano Santiago Fuentes,587,Espanha,Masculino,45,6,0.0,1,0,0,158684.81,0
19,15568982,Lorraine du Carre,726,França,Feminino,24,6,0.0,2,1,1,54724.03,0
20,15577657,Augustin Hamel Le Gilles,732,França,Masculino,41,8,0.0,2,1,1,170886.17,0
21,15597945,Luna Garcia Amat,636,Espanha,Feminino,32,8,0.0,2,1,0,138555.46,0
22,15699309,Rosalina Pellicer Salvador,510,Espanha,Feminino,38,4,0.0,1,1,0,118913.53,1
23,15725737,Nicolas-Eugène Lemaire,669,França,Masculino,46,3,0.0,2,0,1,8487.75,0
24,15625047,Geneviève Lacombe,846,França,Feminino,38,5,0.0,1,1,1,187616.16,0
25,15738191,Joseph Dufour,577,França,Masculino,25,3,0.0,2,0,1,124508.29,0
26,15736816,Univ.Prof. Jose Dowerg,756,Alemanha,Masculino,36,2,136815.64,1,1,1,170041.95,0
27,15700772,Henri Schmitt,571,França,Masculino,44,9,0.0,2,0,0,38433.35,0
28,15728693,Univ.Prof. Tülay Seidel,574,Alemanha,Feminino,43,3,141349.43,1,1,1,100187.43,0
29,15656300,Éric Picard,411,França,Masculino,29,0,59697.17,2,1,1,53483.21,0
30,15589475,Adelina Julie Arnau Rodríguez,591,Espanha,Feminino,39,3,0.0,3,1,0,140469.38,1
31,15706552,Vincent Barthelemy,533,França,Masculino,36,7,85311.7,1,0,1,156731.91,0
32,15750181,Selim Caspar B.A.,553,Alemanha,Masculino,41,9,110112.54,2,0,0,81898.81,0
33,15659428,Pía Orozco Zabala,520,Espanha,Feminino,42,6,0.0,2,1,1,34410.55,0
34,15732963,Diana Macías Barriga,722,Espanha,Feminino,29,9,0.0,2,1,1,142033.07,0
35,15794171,Danielle de Turpin,475,França,Feminino,45,0,134264.04,1,1,0,27822.99,1
36,15788448,Jose Antonio Ramón Montoya,490,Espanha,Masculino,31,3,145260.23,1,0,1,114066.77,0
37,15729599,Antonio Trujillo Cárdenas,804,Espanha,Masculino,33,7,76548.6,1,0,1,98453.45,0
38,15717426,Laurent Pasquier,850,França,Masculino,36,7,0.0,1,1,1,40812.9,0
39,15585768,Martin Hermighausen,582,Alemanha,Masculino,41,6,70349.48,2,0,1,178074.04,0
40,15619360,Fortunato Marcial Benitez Losa,472,Espanha,Masculino,40,4,0.0,1,1,0,70154.22,0
41,15738148,Audrey Le Guyon,465,França,Feminino,51,8,122522.32,1,0,0,181297.65,1
